Split ID,train %,RMSE_test,MRE_test,RMSE_elements,MRE_elements
0.0,10.0,0.6948945311857546,186.7494322640471,0.8983305239725364,444.95053155881595
0.0,15.0,1.0232939581559297,182.08944031695063,0.7538935407336674,420.3682455598418
0.0,20.0,0.3774966401872354,115.61475054210774,0.6733711880750932,266.95097138210724
0.0,25.0,0.35331306775705634,152.35844524420563,0.7115557893152686,420.962427027321
0.0,30.0,0.5264205232496102,116.57113278834555,1.0219778450826282,482.04195794893946
0.0,35.0,0.3386173203408249,111.66051143240561,0.8197591096344831,308.34970382322985
0.0,40.0,0.4976907092258457,162.4851046855965,0.8059667126127829,506.80203862332945
0.0,45.0,0.7897457089719119,126.31993982304006,0.8817295921088785,613.7253680988155
0.0,50.0,0.5364386107976852,154.72461482599797,0.7972335406705561,400.5127815214657
0.0,55.0,0.37077480381228173,95.98439143084393,0.7906689521688854,320.1872671781044
0.0,60.0,0.38446979208882964,130.53976035108454,0.8250623241089028,698.4278759534205
0.0,65.0,0.3695100139872747,133.2126100941326,0.7781288933398058,541.8235621466985
0.0,70.0,0.4471835892265217,129.2710797448962,0.7544575323625163,406.335103531247
0.0,75.0,0.3919910391653796,109.56195429902304,0.7959230628765083,371.22710966701317
0.0,80.0,0.3866403683793781,112.100918463986,0.7829765594986062,353.53735206677925
0.0,85.0,0.3253964781279558,81.12212028340451,0.7656627221138603,390.4235632323947
0.0,90.0,0.31125305071446535,75.277924348998,0.7849696770710035,317.08756425682185
0.0,95.0,0.40468733220940073,110.00084937096273,0.7899508478861359,503.5372512217419
0.0,100.0,0.3467814495380601,101.85099921902469,0.7909161154017903,413.44484473107303
1.0,10.0,0.8120993264166203,244.094027804883,1.164074558121796,433.68743407743585
1.0,15.0,1.413683837988102,156.67882136324602,0.7090056957089302,275.370182685974
1.0,20.0,1.2796569384546226,356.1239616874295,0.8751594547207044,960.6980301628918
1.0,25.0,0.6789661527173032,406.67484094686654,0.7752410159469437,436.13635543858027
1.0,30.0,0.37104298982381456,145.338543791166,0.7084106498017129,352.7714823428306
1.0,35.0,1.0544700681355275,267.20876318236816,0.7077491775170349,228.32428925185962
1.0,40.0,0.399632662243314,99.25089233919468,0.7835194743756168,622.6688106191726
1.0,45.0,0.6946766040349883,156.36816063866465,0.7604337038235599,326.9629293567235
1.0,50.0,0.6600016322150646,88.31612217540071,0.7000945988993781,443.3985264284401
1.0,55.0,0.6268160957159316,118.81380916982431,0.8133172414856417,478.9600681132483
1.0,60.0,0.3570677915036554,92.12252022318899,0.823157968342345,602.8317411367367
1.0,65.0,0.3490995216584204,108.36558169439084,0.6974616070118914,292.8459045525332
1.0,70.0,0.4049978448361895,124.90963429870473,0.7419578514582852,294.1271680578257
1.0,75.0,0.5023473858490684,94.30441939301437,0.8123704787878031,602.6878301312828
1.0,80.0,0.33675839319682427,113.56572896394343,0.7609323127669525,244.39829469211026
1.0,85.0,0.32758107345335996,94.34410674629677,0.7766237709202101,289.566966573164
1.0,90.0,0.31372103902394777,84.9905760966439,0.7853888117188234,392.79124061928974
1.0,95.0,0.3876210176219863,94.74793386134004,0.6988322600029548,373.20762814314344
1.0,100.0,0.3224097255043373,77.86820944203893,0.7409826809197207,298.5786018499767
2.0,10.0,0.8464255163450083,269.3696616666254,1.2382703516623421,627.9840429703154
2.0,15.0,0.6195670842873917,273.4100819989467,0.8147822346775132,355.96062384727037
2.0,20.0,0.424388822751546,205.00034641970447,0.7223181891659046,518.2659384943885
2.0,25.0,0.39722884977005163,178.1374790444907,0.7732696801268972,257.8441017130522
2.0,30.0,0.4794040452278016,253.2803288344651,0.7756797292477554,779.354048351598
2.0,35.0,0.5111335506080766,201.19023807380225,0.9533475931054253,852.5423920636722
2.0,40.0,0.32077107949289635,146.77728813468514,0.7568256322924914,368.910904615351
2.0,45.0,0.2740975256067458,105.03474275769503,0.6735680963273749,400.83153512016327
2.0,50.0,0.5199651707246167,168.812511879472,0.8346623229561065,928.5194560316659
2.0,55.0,0.22514385181954572,102.90988495160323,0.7467455182417794,407.5317978317019
2.0,60.0,0.23390760909889718,92.8143640891454,0.751782006924092,429.76559753779253
2.0,65.0,0.19879346881298887,98.82488958381545,0.7161818067522998,382.04156964708386
2.0,70.0,0.23836173280951461,101.62109526635032,0.7865846636987462,486.1318762622511
2.0,75.0,0.17469973262227273,80.77375453355067,0.7772579516654701,314.63396070131074
2.0,80.0,0.24291712468257837,74.92817285431045,0.786782567284739,474.58413575190974
2.0,85.0,0.20077494982830077,77.69320867365691,0.7678688099069425,323.67853066178066
2.0,90.0,0.19918158713147124,72.88990974941794,0.7450357675647128,604.7690772108051
2.0,95.0,0.1909249910117228,70.13816160372419,0.7670364886652483,512.9143249436885
2.0,100.0,0.19068351354056082,68.16004928764109,0.7735509100169755,403.15110367006696
3.0,10.0,0.8068488885193604,325.7090317068349,0.8017714066651321,679.6826008710318
3.0,15.0,0.8282034866089208,192.1849911199862,0.8199704392756835,678.5137744221735
3.0,20.0,0.41834084556625695,231.86138984076442,0.8685498328024478,411.09080694518343
3.0,25.0,0.8870662410624792,226.979676139243,0.7776368677748385,649.8282356325234
3.0,30.0,0.7625236193460582,209.2477620016186,0.7470067605542539,375.25428716826127
3.0,35.0,0.4335284343922293,133.0679847978036,0.7467056094662307,457.5604480855249
3.0,40.0,0.7536515365302462,111.78163641827116,0.8466859825523949,315.5352199646223
3.0,45.0,0.5680004900037836,125.08607543919244,0.7207748792647561,604.4401176198733
3.0,50.0,0.3382641836204393,113.11182535280527,0.8373126723553371,589.5824941889933
3.0,55.0,0.38389516727316764,155.2171256376573,0.7007462055702909,210.3364525996948
3.0,60.0,0.6173732546306083,116.78572075993455,0.7779083779335827,531.5921160216184
3.0,65.0,0.23612648291811641,116.5444752926364,0.8370354902250198,587.3286181085721
3.0,70.0,0.3590536171735168,132.89806245357502,0.7588610726158875,264.71444684358295
3.0,75.0,0.2206950571700569,106.78842000403498,0.7571881843482616,503.8754137616026
3.0,80.0,0.2931175332037739,120.5358060833698,0.7752425149364379,317.44225392887677
3.0,85.0,0.21882936925600296,78.76146217926926,0.8178120144645349,314.0228858506787
3.0,90.0,0.285829796972841,87.06075446633959,0.779732656175614,266.8520890891716
3.0,95.0,0.538237175846472,82.67762568864242,0.7777825063554915,320.3481380355857
3.0,100.0,0.20822014904145816,81.555837401804,0.7660827947373922,328.0418036985842
4.0,10.0,0.6475196965178576,189.54460800456428,0.8402667033475528,415.7323084426534
4.0,15.0,0.6460018167025093,196.64531269860134,1.0519123520450893,687.4285722445078
4.0,20.0,0.3694614145567513,184.36775288754262,0.7496687565752963,422.6387373217147
4.0,25.0,0.5395853202483314,161.59320415157876,0.7568039313084168,524.5704658649008
4.0,30.0,0.4428852151020226,149.34814654373758,0.7194305041047602,413.8117859671057
4.0,35.0,0.3694511024020575,124.09206060620198,0.7845850875430799,381.1356945067975
4.0,40.0,0.4754852967182291,149.297362478209,0.6533462694817571,326.1466617325323
4.0,45.0,0.3827824421126306,118.86277351323993,0.7706308008569921,354.69777404343756
4.0,50.0,0.2665480983161605,151.1828734148947,0.715197814867337,235.183731433738
4.0,55.0,0.35072954029940456,119.88720963583111,0.743273346070695,442.59966850075944
4.0,60.0,0.380804523683558,112.27340887274845,0.7977931723704829,392.0214876824048
4.0,65.0,0.331348312470922,109.10872316675564,0.7638477859007574,368.488185810875
4.0,70.0,0.2517141421695485,94.17885273667748,0.7266064908942192,428.5766853026305
4.0,75.0,0.24921073745412908,120.26729210754033,0.7699796205674247,391.9020775108134
4.0,80.0,0.29270656436471904,104.06619861844003,0.735860290376393,397.93074052614105
