Element,Wavelength,Z number,1s,2s,2p,3s,3p,3d,4s,4p,4d,4f,5s,5p,5d,6s,6p,Multiplicity,Term,Parity,J,E lower,1s,2s,2p,3s,3p,3d,4s,4p,4d,4f,5s,5p,5d,6s,6p,6d,7s,7p,7d,8s,8p,8d,9s,10s,Multiplicity,Term,Parity,J,E upper,T,w (A),d (A),
Na,475.1822,11,2,2,6,0,1,0,0,0,0,0,0,0,0,0,0,2,P,0,1.5,16973.36619,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,S,1,0.5,38012.042,3800,10,10.83333333,
Na,475.1822,11,2,2,6,0,1,0,0,0,0,0,0,0,0,0,0,2,P,0,1.5,16973.36619,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,S,1,0.5,38012.042,4100,9.5,11,
Na,498.2808,11,2,2,6,0,1,0,0,0,0,0,0,0,0,0,0,2,P,0,1.5,16973.36619,2,2,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,D,1,1.5,37036.772,3800,,16.66666667,
Na,498.2808,11,2,2,6,0,1,0,0,0,0,0,0,0,0,0,0,2,P,0,1.5,16973.36619,2,2,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,D,1,1.5,37036.772,4100,,19,
Na,466.856,11,2,2,6,0,1,0,0,0,0,0,0,0,0,0,0,2,P,0,1.5,16973.36619,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,D,1,2.5,38387.255,3800,,16.66666667,
Na,466.856,11,2,2,6,0,1,0,0,0,0,0,0,0,0,0,0,2,P,0,1.5,16973.36619,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,D,1,2.5,38387.255,4100,,20,
Sn,283.999,50,2,2,6,2,6,10,2,6,10,0,2,2,0,0,0,3,P,1,2,3427.673,2,2,6,2,6,10,2,6,10,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,P,0,2,38628.876,13000,0.345098039,,
Sn,286.332,50,2,2,6,2,6,10,2,6,10,0,2,2,0,0,0,3,P,1,0,0,2,2,6,2,6,10,2,6,10,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,P,0,1,34914.282,13000,0.243137255,,
Sn,270.651,50,2,2,6,2,6,10,2,6,10,0,2,2,0,0,0,3,P,1,1,1691.806,2,2,6,2,6,10,2,6,10,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,P,0,2,38628.876,12800,0.266666667,,
Sn,303.412,50,2,2,6,2,6,10,2,6,10,0,2,2,0,0,0,3,P,1,1,1691.806,2,2,6,2,6,10,2,6,10,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,P,0,0,34640.758,13000,0.392156863,,
Sn,300.914,50,2,2,6,2,6,10,2,6,10,0,2,2,0,0,0,3,P,1,1,1691.806,2,2,6,2,6,10,2,6,10,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,P,0,1,34914.282,13000,0.411764706,,
Sn,317.505,50,2,2,6,2,6,10,2,6,10,0,2,2,0,0,0,3,P,1,2,3427.673,2,2,6,2,6,10,2,6,10,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,P,0,1,34914.282,13000,0.235294118,,
Sn,266.124,50,2,2,6,2,6,10,2,6,10,0,2,2,0,0,0,3,P,1,1,1691.806,2,2,6,2,6,10,2,6,10,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,P,0,1,39257.053,12800,0.223333333,,Разное отнесение в nIST и Lesage 2009
Sn,452.474,50,2,2,6,2,6,10,2,6,10,0,2,2,0,0,0,1,S,1,0,17162.499,2,2,6,2,6,10,2,6,10,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,P,0,1,39257.053,13000,0.262745098,,
Sn,563.171,50,2,2,6,2,6,10,2,6,10,0,2,2,0,0,0,1,S,1,0,17162.499,2,2,6,2,6,10,2,6,10,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,P,0,1,34914.282,13000,0.831372549,,
Sn,326.234,50,2,2,6,2,6,10,2,6,10,0,2,2,0,0,0,1,D,1,2,8612.955,2,2,6,2,6,10,2,6,10,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,P,0,1,39257.053,13000,0.345098039,,
Sn,333.062,50,2,2,6,2,6,10,2,6,10,0,2,2,0,0,0,1,D,1,2,8612.955,2,2,6,2,6,10,2,6,10,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,P,0,2,38628.876,13000,0.423529412,,
Sn,380.102,50,2,2,6,2,6,10,2,6,10,0,2,2,0,0,0,1,D,1,2,8612.955,2,2,6,2,6,10,2,6,10,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3,P,0,1,34914.282,13000,0.447058824,,
B,208.891,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,P,0,0.5,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,D,1,1.5,47857.125,45000,0.064545455,,
